fold,val_loss,train_loss,epochs_run,F1_avg,F1_Fixation,F1_Saccade,F1_Pursuit,F1_Blink,Prec_Fixation,Prec_Saccade,Prec_Pursuit,Prec_Blink,Rec_Fixation,Rec_Saccade,Rec_Pursuit,Rec_Blink,ev_F1_avg,ev_F1_Fixation,ev_F1_Saccade,ev_F1_Pursuit,ev_F1_Blink,roc_auc_micro,roc_auc_macro
1,0.217044394,0.209225558,300,0.862880409,0.959814623,0.853785785,0.85941556,0.778505784,0.945262669,0.863407416,0.890725754,0.885215098,0.974821626,0.844376233,0.830231808,0.694755634,0.864839906,0.906676859,0.869612379,0.886766084,0.796304303,0.990710344,0.979619908
2,0.207134335,0.189545494,300,0.869871855,0.962800208,0.850904692,0.876546886,0.789235614,0.949955701,0.858868026,0.903714069,0.883334935,0.975996821,0.843087672,0.850965417,0.713254508,0.872619523,0.913825445,0.866897492,0.901021337,0.808733818,0.991519121,0.981536023
3,0.205776577,0.19527197,298,0.869850338,0.962431848,0.851503148,0.873564492,0.791901816,0.949447614,0.8611381,0.900818536,0.88424109,0.975776139,0.842081415,0.847911148,0.71702458,0.872580525,0.913219676,0.867959294,0.897623564,0.811519565,0.991606312,0.981691864
4,0.202059794,0.190333673,300,0.873339176,0.963660516,0.852751384,0.881332034,0.795612734,0.950889924,0.863577092,0.906810036,0.886554355,0.976778799,0.842193735,0.857246581,0.721592673,0.875819651,0.915482371,0.868772906,0.904549249,0.814474078,0.991852373,0.982070581
