fold,val_loss,train_loss,epochs_run,F1_avg,F1_Fixation,F1_Saccade,F1_Pursuit,F1_Blink,Prec_Fixation,Prec_Saccade,Prec_Pursuit,Prec_Blink,Rec_Fixation,Rec_Saccade,Rec_Pursuit,Rec_Blink,ev_F1_avg,ev_F1_Fixation,ev_F1_Saccade,ev_F1_Pursuit,ev_F1_Blink,roc_auc_micro,roc_auc_macro
1,0.3953299194334161,0.4197160559604844,44,0.7322445511817932,0.924818098600234,0.8280655833060675,0.6110129564193169,0.5650817027842064,0.8840155795962492,0.8238306737460396,0.7799937349900804,0.8762914627514954,0.9695694311007772,0.8323442570234163,0.5022118836643316,0.4169901154065104,0.7149252550228533,0.8165446765826059,0.8455661847241536,0.6322151828833623,0.5653749759012917,0.9699728396395375,0.919922812171507
2,0.39744815254243937,0.4181568886492854,37,0.729835569858551,0.9245423216882084,0.824356620325843,0.6177250367341723,0.5527182866556837,0.8849602091422859,0.8218535253010998,0.7605348539966572,0.8973717874171415,0.9678310446606514,0.8268750091356906,0.5200688458900886,0.3993427521606376,0.7135132874668615,0.817652302933125,0.8382461311717023,0.6480773421558333,0.5500773736067853,0.9696603324894927,0.919985287329226
3,0.4007316121259667,0.4219399437633259,40,0.7281086444854736,0.9233780474469214,0.826074306828431,0.6019366998115292,0.5610455400960406,0.8831252818529854,0.8221276349316655,0.7603332922874851,0.8762155925498599,0.9674754873105837,0.8300590539671403,0.4981578593518892,0.4126261319534282,0.711497290320476,0.8156084498847259,0.8429455331869307,0.6266152207552099,0.5608199574550378,0.9692332224879192,0.9186994137938921
4,0.39617827305873526,0.41964724237488066,37,0.7339147925376892,0.9250424747587906,0.8283999563525261,0.6183595750128008,0.5638572997484678,0.8859128339642321,0.8245431111883453,0.7634485074774294,0.8940568475452196,0.9677884574955641,0.832293052286913,0.519610611377785,0.41177688088585324,0.7178581631921916,0.8191740347937292,0.8442116010678807,0.6459324452901998,0.5621145716169569,0.9697437971725594,0.9191829492143992
5,0.3980731045014804,0.41919937277230146,37,0.7325730323791504,0.9241379867311132,0.8265857193329055,0.6255240338791294,0.5540443808160344,0.8889165091985342,0.8156295800902145,0.7381849440339454,0.8983808252568046,0.9622657772526694,0.8378402081445319,0.5426980946874453,0.4005278273694015,0.7207956460113066,0.8232339864976124,0.8448146854891007,0.6641282915505133,0.551005620508,0.9696207506044612,0.9198288538765937
