fold,val_loss,train_loss,epochs_run,F1_avg,F1_Fixation,F1_Saccade,F1_Pursuit,F1_Blink,Prec_Fixation,Prec_Saccade,Prec_Pursuit,Prec_Blink,Rec_Fixation,Rec_Saccade,Rec_Pursuit,Rec_Blink,ev_F1_avg,ev_F1_Fixation,ev_F1_Saccade,ev_F1_Pursuit,ev_F1_Blink,roc_auc_micro,roc_auc_macro
1,0.4183807953704243,0.437180055883424,35,0.7812455892562866,0.9048263996274533,0.6857873065455061,0.8857164237430469,0.6486522257025632,0.8615771016965217,0.7518094793369133,0.8940044983047434,0.8449514395724383,0.9526472195399459,0.6304248515303792,0.8775806106140741,0.5263666630866717,0.7746554801623813,0.850100349364454,0.705056513979774,0.8917400112162797,0.6517250460890176,0.9672564929074239,0.9400487615402371
2,0.42035044540275646,0.44665479126932295,53,0.7791405916213989,0.9038751708589992,0.6878588432992578,0.8860020678384418,0.6388264363466376,0.8596889330118659,0.7418818909530283,0.8968602295746118,0.8446053328624404,0.9528496788777939,0.6411695601096462,0.8754036775851842,0.5136750912866042,0.7721227943181241,0.8480876426010733,0.7084231568220123,0.8920016008232805,0.6399787770261308,0.9669700216051802,0.9393629019270885
3,0.4298761995900292,0.44842730308401174,31,0.7732318043708801,0.9028577915259528,0.6727122242613984,0.8768146135768929,0.6405427432322298,0.858092662895058,0.7497994545162843,0.8870752887614872,0.8323315587612342,0.952550619409409,0.6099980421588462,0.8667885917651129,0.5205871822413176,0.7658310521594198,0.8471839947912042,0.6908930998640761,0.8837416582868635,0.6415054556955353,0.9655897936950488,0.937480435491092
4,0.4222349129796405,0.4482346123790947,33,0.7785636186599731,0.9041037544987968,0.6808679068763269,0.8810971299307224,0.6481857508607751,0.8596885567907985,0.758700882117081,0.8895979578813018,0.8450736648250461,0.9533583346432822,0.6175184387442073,0.8727572287667847,0.5257052842617786,0.7709405269429837,0.8491609359616851,0.6975234431353691,0.8881090904934448,0.6489686381814355,0.9666546648043985,0.9391520010002801
5,0.42721275114354096,0.45042114210282935,39,0.7752363681793213,0.9023840377753715,0.6763621034882495,0.880051529575132,0.6421476864800582,0.8582822873119964,0.7324254412659769,0.8938469642644735,0.8340866182275873,0.9512635108835594,0.628271226261176,0.8666754539163674,0.5220209109137783,0.7687706394158733,0.8470546381666716,0.6993710691823899,0.8856889829436323,0.6429678673707995,0.96594505588978,0.9382881657353008
