fold,val_loss,train_loss,epochs_run,F1_avg,F1_Fixation,F1_Saccade,F1_Pursuit,F1_Blink,Prec_Fixation,Prec_Saccade,Prec_Pursuit,Prec_Blink,Rec_Fixation,Rec_Saccade,Rec_Pursuit,Rec_Blink,ev_F1_avg,ev_F1_Fixation,ev_F1_Saccade,ev_F1_Pursuit,ev_F1_Blink,roc_auc_micro,roc_auc_macro
1,0.4655712817445798,0.5161435616941288,167,0.7722357511520386,0.8969135520664697,0.6921815978903856,0.8795024529948567,0.6203454719474956,0.8442950269083793,0.7617254901960784,0.904557734204793,0.8515923168366389,0.9565266240721461,0.6342737722048067,0.8557977705956071,0.4878669486361518,0.7619891084710777,0.8345620374147678,0.7118980507364325,0.8834845989417248,0.6180117467913857,0.9581755521379415,0.9214316168086814
2,0.4929273159845892,0.5551421876739839,56,0.7557970285415649,0.8932950510430537,0.6583047733455818,0.865286726385071,0.6063017931551102,0.8315536675747911,0.7167256501000154,0.9127698499817051,0.8746454140213427,0.9649401435356517,0.6086899705978438,0.8224995466460047,0.46395815419891084,0.739730135996699,0.8232211882605583,0.6765054997230355,0.8617257820953378,0.5974680739078645,0.9534662013935987,0.9134466056004962
3,0.46585649404991786,0.5151840495909082,139,0.7731168270111084,0.8962614491144613,0.6870930959649832,0.8795697472180477,0.629543001079525,0.8440043407487792,0.7864600875715729,0.9012249558808263,0.8451180484270273,0.955416732208265,0.610018940630919,0.8589308093133698,0.5015948105938429,0.7612275206390623,0.8332048129664925,0.7002038320423971,0.8848050305709281,0.6266964069764317,0.9578742091477106,0.920912130622171
4,0.48428749479870564,0.5369824665630686,88,0.7629520893096924,0.8944501857386252,0.6774521183981428,0.8738622469773129,0.6060436746286725,0.8375298309849946,0.7616639477977162,0.9009103641456583,0.8656557595105081,0.959671558821987,0.6100078390384113,0.8483909258770773,0.46622250877570026,0.7485925487717887,0.8283097394835756,0.6896718731081245,0.8771700273370873,0.5992185551583673,0.9543944950044241,0.9173335950295409
