timestep_tag,timesteps,context_ms,F1_avg,F1_Fixation,F1_Saccade,F1_Pursuit,F1_Blink,ev_F1_avg,ev_F1_Fixation,ev_F1_Saccade,ev_F1_Pursuit,ev_F1_Blink,roc_auc_macro,roc_auc_micro,val_loss,train_loss,epochs_run,Prec_Fixation,Prec_Saccade,Prec_Pursuit,Prec_Blink,Rec_Fixation,Rec_Saccade,Rec_Pursuit,Rec_Blink
5ms,1,5,0.859669805,0.938357187,0.765668663,0.947595627,0.787057705,0.86272327,0.904092142,0.78670338,0.952388363,0.807709195,0.978127238,0.988024987,0.252802761,0.232737483,242,0.914823874,0.851686468,0.947312978,0.726104389,0.962966012,0.697056712,0.948218199,0.726104389
10ms,2,10,0.866046906,0.940439791,0.771346338,0.94844105,0.803960621,0.871655256,0.91123282,0.796948357,0.953769401,0.824670446,0.978339816,0.98804831,0.259564025,0.187519543,138,0.92317009,0.829870521,0.944504346,0.751306651,0.958430011,0.719441363,0.952518246,0.751306651
20ms,4,20,0.8726933,0.943991808,0.776465581,0.953369323,0.816946502,0.880819822,0.917990265,0.800849123,0.958450595,0.845989305,0.980666162,0.989330046,0.244697883,0.174951262,182,0.929597086,0.846301559,0.949154759,0.783776044,0.958938355,0.719049794,0.956488789,0.783776044
40ms,8,40,0.863953412,0.940143369,0.766608671,0.949903073,0.7991587,0.870636181,0.909594081,0.793570951,0.954946328,0.824433364,0.978022297,0.987993701,0.260004652,0.197523051,219,0.921138842,0.833994507,0.950934734,0.753588945,0.9597009,0.713437316,0.948663031,0.753588945
80ms,16,80,0.860876918,0.938098594,0.766306881,0.947593565,0.791508748,0.865763869,0.905407538,0.787734161,0.953049603,0.816864175,0.977223247,0.987523361,0.261542101,0.209834614,239,0.916884695,0.84769729,0.949656713,0.743913791,0.960073954,0.700365488,0.945745119,0.743913791
100ms,20,100,0.862424493,0.93916471,0.767489712,0.94864905,0.794394478,0.869711564,0.909508192,0.789254395,0.954872524,0.825211147,0.977842508,0.987829688,0.259678811,0.202894063,231,0.921798744,0.845773487,0.94687854,0.757160246,0.95716125,0.703302441,0.950357531,0.757160246
