fold,val_loss,train_loss,epochs_run,F1_avg,F1_Fixation,F1_Saccade,F1_Pursuit,F1_Blink,Prec_Fixation,Prec_Saccade,Prec_Pursuit,Prec_Blink,Rec_Fixation,Rec_Saccade,Rec_Pursuit,Rec_Blink,ev_F1_avg,ev_F1_Fixation,ev_F1_Saccade,ev_F1_Pursuit,ev_F1_Blink,roc_auc_micro,roc_auc_macro
1,0.3903198586041728,0.42065539821211634,43,0.796887218952179,0.9088772277015514,0.7218798428658955,0.8975289923370078,0.6592626870276107,0.8692705059174024,0.8061010946555055,0.8929258667362447,0.8573475469967905,0.9522654630107865,0.6535926385172617,0.9021798230438436,0.5355314502559696,0.7917552194198777,0.8579396792790902,0.7417234468937876,0.9070165945165946,0.6603411569900386,0.9712447878389388,0.9470959047266144
2,0.38730807645928067,0.4177916802080541,46,0.7986465096473694,0.9094283909343214,0.7182381179229727,0.8973950555832089,0.6695245004286751,0.8646910347434064,0.8189186930726163,0.9037227643363187,0.8674451723155796,0.9590475620162582,0.6396031849627986,0.8911553417254333,0.5451421207131095,0.7899315377822388,0.8542835458860994,0.7321813376702582,0.9039133790348209,0.6693478885377765,0.9718061649505713,0.9477670128822617
3,0.38942206066342316,0.41817765939852286,55,0.7977426648139954,0.9087132494406361,0.7174491992265879,0.8981269760031698,0.6666812055654905,0.8670528484304567,0.8134513567174056,0.899947061937533,0.8527672394554787,0.9545791384408099,0.6417150688507473,0.8963142372266983,0.5472610096670247,0.7905282931357736,0.8549736851927886,0.7331985442782046,0.9051360198668021,0.6688049232052987,0.9712328656363307,0.9465862458816298
4,0.3905610914874036,0.4198477304187314,38,0.7950656414031982,0.9090541159429552,0.7132487719040985,0.897788017669338,0.6601715416758303,0.8645867098865478,0.8135820021744585,0.9032451722642831,0.855798836811495,0.9583436257887764,0.6349454996410157,0.8923964082708625,0.5373406845195474,0.786232809724235,0.854575697270324,0.7255507682302252,0.9050433993305724,0.6597613740658188,0.9712211610078658,0.9464811711235499
