fold,val_loss,train_loss,epochs_run,F1_avg,F1_Fixation,F1_Saccade,F1_Pursuit,F1_Blink,Prec_Fixation,Prec_Saccade,Prec_Pursuit,Prec_Blink,Rec_Fixation,Rec_Saccade,Rec_Pursuit,Rec_Blink,ev_F1_avg,ev_F1_Fixation,ev_F1_Saccade,ev_F1_Pursuit,ev_F1_Blink,roc_auc_micro,roc_auc_macro
1,0.38622078874539084,0.40218205032783133,26,0.7484728693962097,0.9261808188385217,0.8356423540369056,0.6348778091420907,0.597190526902987,0.8918968900378428,0.8319858587614826,0.7556755954038351,0.8611964311832675,0.9632058157599864,0.8393311310550472,0.5473773379408641,0.45707188324794285,0.7385453170827557,0.82724396315183,0.8556555615260613,0.6690918262421668,0.6021899174109645,0.9711991962327009,0.9238394088945928
2,0.39875196087769366,0.41234527493470186,40,0.7334632873535156,0.9234173528991595,0.8256191847092169,0.5943920252500438,0.5904246204462114,0.8797839797000311,0.8383839905968867,0.7807263180923212,0.8739853896103896,0.9716046216332125,0.8132372502302194,0.47986392179537174,0.44578999120219426,0.7137208825494556,0.8105892591448864,0.8374458081715741,0.6136565722637286,0.5931918906176332,0.9695190690092811,0.9193387188477391
3,0.38924135374951485,0.4022608385000645,50,0.7438608407974243,0.9252244529663884,0.831565429752741,0.6192218157632191,0.5994317698497763,0.8843667405841461,0.8447779202171782,0.7803217695279759,0.875204928213026,0.9700402798567079,0.8187598666900544,0.5132580341535565,0.4558085381630013,0.726655258481952,0.8172278052492633,0.8444912483333192,0.6420065822279845,0.6028953981172411,0.9707170843123702,0.9222269513243079
4,0.40298931862776244,0.4085580358206297,30,0.7311747670173645,0.9224538215892683,0.8282942087746736,0.5821948807348677,0.591756205052869,0.8784991270013351,0.8401954887218045,0.7728354954273381,0.8708834028860174,0.9710386235777896,0.8167253804212773,0.466997431863714,0.44812687571147675,0.7111649578868996,0.8090894115379953,0.8409999829819098,0.6001587939905755,0.5944116430371178,0.9689897071543927,0.9175414256488362
