fold,val_loss,train_loss,epochs_run,F1_avg,F1_Fixation,F1_Saccade,F1_Pursuit,F1_Blink,Prec_Fixation,Prec_Saccade,Prec_Pursuit,Prec_Blink,Rec_Fixation,Rec_Saccade,Rec_Pursuit,Rec_Blink,ev_F1_avg,ev_F1_Fixation,ev_F1_Saccade,ev_F1_Pursuit,ev_F1_Blink,roc_auc_micro,roc_auc_macro
1,0.2537708326429373,0.18380063752932796,138,0.8688302636146545,0.9416588961739807,0.7780560945493032,0.9490905496243575,0.8065155433079784,0.9240529129501275,0.8467977269236676,0.9491218242330378,0.8529623123602683,0.9599488039280261,0.7196371467728252,0.9490592770766747,0.7648659291876991,0.8746349140975552,0.9126903391931843,0.7992483557782649,0.9539156087967102,0.8326853526220614,0.988515436587661,0.9793599584536861
2,0.2564332284527144,0.19268707802583432,146,0.8656561374664307,0.9412284804021863,0.7687176211766376,0.9487533823760623,0.8039249374797167,0.9194141285805038,0.8423672136246987,0.953035643037638,0.8612565445026178,0.9641031398525505,0.7069111792729883,0.9445094324079414,0.7537497762663325,0.8688487484395351,0.9088511021426823,0.7894674509494296,0.9518390162101733,0.8252374244558549,0.98815186822183,0.9785600649646296
3,0.2531321069470248,0.21654702703757533,142,0.8623615503311157,0.9397481816783494,0.7619829401477569,0.9479843633472926,0.7997308727412533,0.9200501972032987,0.8408160050409578,0.943122706889523,0.8636137175122478,0.9603080746085446,0.6966651439013248,0.9528964017398182,0.7446480990907138,0.8657837777186068,0.9082676823149194,0.78091020521134,0.9529505582137161,0.8210066651344519,0.9881527916319819,0.9781979628865363
4,0.24755011597358773,0.17930174509769883,173,0.8704654574394226,0.9433630919578235,0.7731940447002807,0.9513694710162701,0.8139353166511025,0.926420077353807,0.8485415691779754,0.9442821436686467,0.8702775400415699,0.9609373830516593,0.7101364140721885,0.9585639910373006,0.7644447626548292,0.875472751098989,0.9154521266033915,0.7943632981039465,0.9578160474001882,0.8342595322884298,0.9890944471096137,0.9799108951665444
